date,W,U,B,R,G,X
0,11.11,31.11,37.78,22.22,11.11,8.89
1,7.78,34.44,25.56,28.89,8.89,12.22
2,8.89,31.85,22.22,28.89,5.93,20.74
3,18.89,27.22,19.44,23.33,8.33,19.44
4,16.00,30.67,17.33,24.89,9.78,18.67
5,22.22,27.04,15.19,21.85,12.96,17.04
6,20.00,24.44,13.65,26.35,13.65,17.78
7,20.00,25.28,16.94,23.61,12.78,18.33
8,21.73,27.41,15.80,21.23,14.07,17.53
9,20.67,29.78,14.67,20.00,16.00,16.89
10,19.39,29.70,15.96,18.99,17.58,16.77
