date,W,U,B,R,G,X
0,4.44,42.22,15.56,26.67,4.44,20.00
1,8.89,28.89,14.44,20.00,23.33,25.56
2,7.41,33.33,24.44,16.30,17.78,20.74
3,11.11,33.33,23.33,16.67,16.67,23.33
4,19.11,28.44,24.44,14.67,14.67,21.78
5,15.93,29.26,21.85,12.59,19.26,22.22
6,17.46,30.16,21.59,14.29,20.63,20.32
7,16.67,30.28,21.67,13.61,20.00,22.22
8,17.04,30.12,20.25,14.81,19.01,22.72
9,15.78,30.89,22.00,14.67,18.00,22.22
10,18.79,28.28,20.40,14.14,18.99,22.02
